,ASDC,B Cell,CD1C,CLEC9A,Eccrine,Endothelial Cell,Fibroblast,Keratinocyte,LC,MDSC,Mac,Melanocyte,Multiplet,NK,PDC,Pilosebaceous,TSK,Tcell,Tumor_KC_Basal,Tumor_KC_Cyc,Tumor_KC_Diff
7x45,0.01595948,0.011536141,0.12253992,0.038318742,0.0028351867,0.0040063476,0.023536107,0.23701051,0.07360218,0.014888879,0.105100304,0.031030806,0.013924183,0.006993594,0.032809235,0.052822746,0.017932503,0.03852131,0.050622966,0.030660367,0.07534846
8x30,0.009080565,0.021598253,0.103336066,0.020333868,6.6916014e-06,0.0049525113,0.023882488,0.19622841,0.05604716,0.023405666,0.10668745,0.03223088,0.04405104,0.011175711,0.010478343,0.061135806,0.036375836,0.055201255,0.0515529,0.043260362,0.08897873
8x32,0.009285522,0.010739929,0.098036006,0.013256395,1.3605917e-05,0.021160923,0.040163554,0.22463562,0.068455204,0.020181846,0.09734586,0.017804243,0.0436052,0.020215526,0.012310447,0.04802723,0.018515673,0.069891125,0.05546949,0.029204609,0.08168202
8x34,0.009438078,0.015047117,0.10215642,0.018322427,0.0022778232,0.0063896137,0.034345157,0.22050801,0.05432101,0.024668349,0.106785096,0.027305372,0.046664692,0.0059949746,0.006942511,0.07004518,0.01566132,0.072063565,0.046395183,0.033354472,0.081313565
8x36,0.008285234,0.019732697,0.10389407,0.020850679,2.070451e-06,0.00059607363,0.033046793,0.21975124,0.05362817,0.024307964,0.118204825,0.01910348,0.042540163,0.008013669,0.009194102,0.066330925,0.014676085,0.063272476,0.050155587,0.037204225,0.087209515
8x38,0.013753326,0.026289294,0.107694685,0.025623178,0.0018873753,0.0049442207,0.035415806,0.19771773,0.05940088,0.019151479,0.10872142,0.024026752,0.033697344,0.0071828067,0.015185937,0.06353608,0.014904362,0.057859007,0.051196653,0.04081142,0.091000274
8x44,0.017777257,0.01090603,0.1213595,0.04356353,0.0019847336,0.0038156577,0.02723866,0.2338648,0.078291364,0.014072091,0.10025484,0.0289513,0.012308369,0.008797515,0.03304483,0.05096154,0.018119967,0.0367965,0.049320374,0.03123906,0.077332124
8x46,0.015905542,0.012517724,0.120384365,0.03456938,0.0031246194,0.004316879,0.02730838,0.23754796,0.072880656,0.017010618,0.10528109,0.035332385,0.014169724,0.0070525506,0.024741659,0.05834786,0.015047484,0.04206186,0.048590496,0.02894176,0.07486703
9x29,0.0129798865,0.022564244,0.10248136,0.029230632,0.0012711752,0.0030296694,0.023495862,0.19583051,0.052914333,0.018480195,0.10193643,0.025163125,0.051173434,0.005432095,0.017112808,0.05390023,0.03681937,0.052091055,0.05668075,0.050314527,0.08709823
9x31,0.01000066,0.013164526,0.09999269,0.018980613,0.0027576822,0.013026507,0.029261881,0.22320876,0.05849622,0.024287855,0.098931774,0.034146577,0.035190657,0.011013402,0.008616337,0.059189934,0.02107576,0.0637382,0.05057031,0.03980272,0.08454691
